actor_id,Challange,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence,Adventurousness,Artistic interests,Emotionality,Imagination,Intellect,Authority-challenging,Achievement striving,Cautiousness,Dutifulness,Orderliness,Self-discipline,Self-efficacy,Activity level,Assertiveness,Cheerfulness,Excitement-seeking,Outgoing,Gregariousness,Altruism,Cooperation,Modesty,Uncompromising,Sympathy,Trust,Fiery,Prone to worry,Melancholy,Immoderation,Self-consciousness,Susceptible to stress,Opensess,Conscientiousness,Extraversion,Agreeableness,Emotional range,Target,Country ,Gender,Age
896277930,0.508533241,0.128643325,0.511859785,0.188999301,0.14361941,0.437834863,0.261906713,0.010164711,0.391362211,0.241406792,0.529201177,0.722208603,0.3774047,0.178649372,0.152443699,0.168350013,0.203184576,0.506677623,0.380324254,0.309046653,0.260445557,0.971147099,0.4852007,0.700947589,0.794209785,0.673386002,0.455260912,0.802632309,0.599452043,0.53500376,0.892165853,0.284649296,0.140894639,0.432186122,0.262622017,0.695475713,0.403034348,0.729913916,0.929019118,0.89195741,0.209317208,0.330489927,0.108684061,0.351878578,0.208038996,0.291332395,0.129346497,0.863787866,0.926417645,0.502869893,0.522595622,0.931805684,1,Saudi Arabia,Female,18
2967591638,0.182459335,0.174063033,0.556991701,0.160040085,0.190351244,0.465897526,0.201216187,0.050312823,0.266876248,0.353075068,0.525813581,0.464345343,0.185260455,0.096790145,0.315855172,0.221035327,0.162339082,0.532461528,0.615353825,0.389330321,0.648524556,0.977354727,0.639211412,0.317512291,0.387717768,0.354945543,0.48850119,0.271835079,0.349318324,0.07319962,0.721940748,0.175574324,0.274624987,0.108292638,0.098125171,0.467251829,0.156002558,0.343009214,0.692149768,0.860664284,0.020288107,0.725966813,0.287687547,0.478958191,0.349567761,0.543044577,0.247015769,0.815638922,0.362125915,0.309329929,0.326296849,0.798608031,1,Saudi Arabia,Female,18
242746009,0.079439111,0.439587357,0.524173561,0.061879646,0.317833878,0.199864278,0.085099255,0.263600891,0.10045731,0.276004037,0.32613977,0.109514214,0.087300169,0.224483996,0.216093298,0.116104612,0.337363202,0.35513669,0.837987613,0.855586067,0.598781249,0.991780896,0.864441099,0.388703122,0.487194577,0.367846203,0.258520429,0.176595761,0.317821972,0.225646692,0.823182418,0.22007404,0.211926719,0.36106169,0.257404102,0.915673194,0.338986484,0.424887426,0.71855464,0.99461142,0.128530548,0.537556468,0.45924074,0.543880035,0.48908054,0.381007854,0.373194277,0.936643796,0.33365046,0.802185719,0.724614935,0.504330757,1,United State,Female,18
8.29E+17,0.019820404,0.041472084,0.196838025,0.028446247,0.039225956,0.09549617,0.031161864,0.035990859,0.135941677,0.112736102,0.281507499,0.145591421,0.029263773,0.061483088,0.204612984,0.035612,0.077802659,0.264536962,0.75313136,0.501261626,0.726068539,0.995179126,0.776980832,0.446514023,0.429998374,0.308181702,0.562123039,0.339174164,0.679570672,0.135126405,0.900801251,0.053056745,0.289996311,0.293979916,0.134567337,0.68696013,0.050154022,0.13808864,0.3481868,0.991263581,0.038808465,0.795116099,0.441117865,0.547642002,0.338056879,0.304748955,0.10961934,0.968914946,0.605865737,0.908310044,0.241737151,0.867850068,1,United State,Female,18
2274100657,0.478459221,0.260272902,0.631893255,0.382053164,0.291190645,0.61073968,0.355143056,0.149988861,0.47935656,0.43730257,0.611823964,0.482358945,0.108985794,0.511186838,0.491708762,0.49030866,0.281450797,0.610107043,0.697746926,0.205021392,0.512308662,0.957658062,0.582956813,0.228418071,0.474579916,0.09437604,0.617253893,0.326905637,0.354617192,0.143884917,0.818002059,0.285720944,0.303732718,0.319457594,0.371486968,0.237346141,0.105471438,0.128368097,0.46032601,0.653978815,0.030723138,0.627939254,0.155640718,0.282928309,0.453284943,0.246067506,0.157875074,0.870415462,0.373518362,0.600876004,0.221464586,0.696829652,1,United State,Female,19
1.00E+18,0.037575256,0.058280675,0.314215107,0.026573274,0.089923371,0.173404054,0.037744004,0.095441698,0.172898928,0.409318711,0.278142411,0.031624279,0.015700146,0.107779478,0.304459982,0.185287284,0.140633145,0.148650787,0.914159504,0.600263602,0.970149102,0.992457626,0.934704102,0.236849524,0.093629803,0.084319343,0.177352947,0.039696079,0.406816494,0.109882468,0.735776013,0.052802734,0.46510554,0.099079711,0.098473645,0.698266258,0.017729302,0.094576329,0.091653768,0.979108419,0.033608468,0.968065196,0.849670088,0.868721855,0.577801018,0.675307466,0.526074681,0.976680577,0.040856091,0.847468368,0.106876077,0.395665367,1,United State,Female,19
9.28E+17,0.515684678,0.945602303,0.465034253,0.110016291,0.926472151,0.338206747,0.357162738,0.606255376,0.185623969,0.236317994,0.821350187,0.710783241,0.951727314,0.081183494,0.437771151,0.118229122,0.5248211,0.118670522,0.487878785,0.894651572,0.246747244,0.309514353,0.061873858,0.886315015,0.443107717,0.868234775,0.541969174,0.836221682,0.657333874,0.734673599,0.779066678,0.981398966,0.239685483,0.969796275,0.864526504,0.965765213,0.742172871,0.779142763,0.945362496,0.931512699,0.54587808,0.457888425,0.25925068,0.217542118,0.27439514,0.055050773,0.288343289,0.505884084,0.943683207,0.953025526,0.998961431,0.918052129,1,United State,Female,19
890497890,0.011717865,0.069320158,0.213974225,0.01166287,0.195491383,0.140073687,0.04581654,0.024644816,0.117200233,0.157463758,0.236829391,0.188694931,0.29051584,0.005280783,0.102783822,2.60E-04,0.045939961,0.462646116,0.556179929,0.216236176,0.095464559,0.979242313,0.269299491,0.511275266,0.914187179,0.731956689,0.88036917,0.846797063,0.390577987,0.136129032,0.792051553,0.247983863,0.039058404,0.379592972,0.205790032,0.524077404,0.507909745,0.541934506,0.926240209,0.954692372,0.073233099,0.272161474,0.04263531,0.110794562,0.037213069,0.13888972,0.04007983,0.75263364,0.749424483,0.56999503,0.903646351,0.931109202,1,United State,Female,19
7.88E+17,0.032939265,0.218941928,0.246385704,0.027572871,0.119165399,0.104560673,0.018922464,0.008999936,0.065985158,0.140889646,0.306775651,0.365912352,0.086860045,0.066921443,0.093817535,0.009297061,0.174046637,0.208248648,0.668924363,0.675731589,0.302478844,0.993575812,0.679156751,0.540383602,0.818705949,0.743437903,0.200061696,0.402137279,0.29177907,0.187618901,0.707922177,0.096761568,0.031965488,0.140940486,0.043767945,0.82742332,0.493081137,0.710272148,0.939423544,0.993894396,0.089622675,0.451513614,0.27045975,0.585221674,0.431358002,0.402203156,0.249516624,0.962396859,0.73617472,0.471549338,0.583298487,0.785198552,1,United State,Female,19
24402129,0.111519697,0.339762751,0.558716287,0.093294419,0.515235608,0.313786571,0.143180029,0.129515932,0.161399152,0.431762091,0.508875038,0.429365871,0.410499427,0.110731313,0.107935562,0.016606695,0.217489745,0.438830116,0.833699877,0.725666113,0.507297662,0.931425973,0.286190587,0.93792841,0.846199052,0.790466088,0.80254294,0.925925088,0.873436599,0.6949516,0.898298661,0.729426927,0.153341188,0.836588996,0.386122786,0.908633704,0.494934138,0.490776265,0.86583375,0.995127554,0.407659931,0.437898132,0.20059572,0.165181612,0.026752258,0.056746684,0.120287961,0.970548816,0.991897025,0.988849392,0.969848203,0.969462499,1,United State,Female,15
